"","fname","trial_type4","feedback_prev","group","Avg_block_V_m499_m450","Avg_block_V_m449_m400","Avg_block_V_m399_m350","Avg_block_V_m349_m300","Avg_block_V_m299_m250","Avg_block_V_m249_m200","Avg_block_V_m199_m150","Avg_block_V_m149_m100","Avg_block_V_m99_m50","Avg_block_V_m49_0","Avg_block_V_1_50","Avg_block_V_51_100","Avg_block_V_101_150","Avg_block_V_151_200","Avg_block_V_201_250","Avg_block_V_251_300","Avg_block_V_301_350","Avg_block_V_351_400","Avg_block_V_401_450","Avg_block_V_451_500","Avg_block_V_501_550","Avg_block_V_551_600","Avg_block_V_601_650","Avg_block_V_651_700","Avg_block_V_701_750","Avg_block_V_751_800","Avg_block_V_801_850","Avg_block_V_851_900","Avg_block_V_901_950","Avg_block_V_951_1000","Avg_block_V_1001_1050","Avg_block_V_1051_1100","Avg_block_V_1101_1150","Avg_block_V_1151_1200","Avg_block_V_1201_1250","Avg_block_V_1251_1300","Avg_block_V_1301_1350","Avg_block_V_1351_1400","Avg_block_V_1401_1450","Avg_block_V_1451_1500","Avg_block_V_1501_1550","Avg_block_V_1551_1600","Avg_block_V_1601_1650","Avg_block_V_1651_1700","Avg_block_V_1701_1750","Avg_block_V_1751_1800","Avg_block_V_1801_1850","Avg_block_V_1851_1900","Avg_block_V_1901_1950","Avg_block_V_1951_2000","Avg_block_V_2001_2050","Avg_block_V_2051_2100","Avg_block_V_2101_2150","Avg_block_V_2151_2200"
"224","P329","postrisk","positive","autists",0.0985400602841402,0.287117562592416,0.244841384977418,0.274642282075903,0.539363205995761,0.590908831476453,0.63910875145101,0.714638623592567,0.760931851181909,0.749242063192016,0.732112103647417,0.692133423573134,0.716487185112385,0.875429803786763,0.741033839550724,0.0640286757359272,-0.637019052777934,-1.33470291372222,-1.33573658389164,-1.043866031947,-0.527138355423933,0.0412377998232897,0.385019022515521,0.955619896371673,1.13038344369733,1.1611476138391,1.20341774681905,1.22392719358023,1.26461967680932,1.29970878333707,1.30702581407813,1.29410540663574,1.29048769255187,1.2763160456519,1.2640212579383,1.27471119504327,1.19250246801081,0.854782934682528,0.491526694637605,0.0930453437760903,-0.0384590723829188,0.176911776164511,0.109997666041819,0.101293391554315,0.201265610824333,0.31379142429575,0.316715049102591,0.318534081539611,0.320353113976629,0.344515760545385,0.880734175186619,1.01361878593813,0.997444227096241,0.97865838590813
"225","P329","prerisk","negative","autists",-0.912008636913334,-0.976052619535591,-1.03074135739582,-0.91132848412529,-0.936183754952275,-0.864596931275375,-0.791908554757448,-0.754526891629462,-0.766005287679031,-0.725653486045291,-0.744979695493329,-0.809962544714107,-0.834021703414725,-0.808246670196195,-0.76723119488448,-0.877136338031955,-1.02626826279762,-1.17479466410649,-1.33708390505351,-1.3072400257148,-0.910352504482353,-0.852469976552731,-0.646799658409896,-0.491373852874541,-0.282388307769115,-0.141256657211559,-0.0677191382210308,0.0274702635571654,0.0875841592364941,0.127120606010207,0.142189881216699,0.146990832613713,0.131608747542827,0.121952443033251,0.106896768255646,0.0758847233584174,-0.038799087457674,-0.292606994185625,-0.716967582961011,-1.12825931988079,-1.2579731781855,-1.43578715494221,-1.56673109204572,-1.70604238297475,-1.72792438075019,-1.46973910657604,-1.32210015059894,-1.17285239550159,-0.987908766456621,-0.661008918288265,-0.351040491391438,-0.251206835781366,-0.201404518621472,-0.132080212287717
"226","P329","prerisk","positive","autists",-0.130875893335474,-0.112259424175067,-0.131603227828723,-0.177993544994681,-0.0550115980974303,0.0877473643831348,0.12645191825661,0.136774643781634,0.15950549392765,0.180982837877938,0.200395183375592,0.200367982517818,0.195517162881552,0.220112855396632,0.219214271467941,0.0197646653297433,-0.17541467803358,-0.331996350722188,-0.386369117567866,-0.0281608812500855,0.164825503468035,0.342541218600034,0.452136131547369,0.490071417753946,0.464280372574271,0.458520492406592,0.445801726125223,0.601704314951873,0.706113531099614,0.734771901502094,0.754050509449028,0.735211648702765,0.749052351833156,0.752951141447351,0.736748497166965,0.726675112838196,0.72062583636122,0.578011604942281,0.187160491950024,-0.21534835865772,-0.676461787494913,-0.844003314799072,-0.965949827188473,-0.988740226513507,-0.857254217780009,-0.804736612873156,-0.7894596385679,-0.741428706289321,-0.651790868896989,-0.464040701328628,-0.114163350009904,0.189835678793827,0.389556157223624,0.567929206818719
"227","P329","risk","negative","autists",-1.07413140735965,-1.1378590847142,-1.18565249958506,-1.19960804738574,-1.22163680977359,-1.18742134997213,-1.01039147059438,-0.915047458680556,-0.934052397819806,-1.01909468925156,-1.08585018559438,-1.00216372983195,-0.635844413934685,-0.568492939822181,-0.554186616952746,-0.738993551182236,-0.926079906324034,-1.12832957828008,-1.29722251811551,-1.2879554575185,-1.14362990617969,-0.790633185693061,-0.574899460469165,-0.474850840193365,-0.368335553436172,-0.305018378396218,-0.143527867480327,0.0218661096884686,0.0469655069070784,0.0773799517346268,0.159900359712995,0.179550259368536,0.163650376525704,0.129858947208593,0.0906099602215178,0.0522314006831875,0.0235607031348788,-0.267907494325778,-0.678908676642003,-1.11158429621179,-1.43150953553326,-1.28157939445218,-1.35099501549045,-1.39693089334615,-1.36121754609923,-1.31743695599223,-1.30351153852912,-1.26666028380802,-1.0045832096923,-0.571116422216434,-0.402655073181243,-0.340256215471544,-0.302264687441979,-0.215060881182832
"228","P329","risk","positive","autists",0.123628318103848,0.0904432716202372,0.0116756321433802,-0.0597538203697053,-0.118241709217688,-0.165027184588026,-0.162086708441026,-0.213280255461485,-0.28110799025006,-0.364559595511961,-0.241418630651971,0.0493034853966563,0.102296800974402,0.122756495739314,0.132914654103811,0.0511771407151336,-0.0764895220099936,-0.223949242522515,-0.340359447489681,-0.246697865043363,-0.106692931687569,0.077509173023504,0.211091503353323,0.269523070168481,0.376042589367956,0.493487448202069,0.546982468489858,0.566470371925771,0.587221604089386,0.609828539216654,0.617662386255408,0.627297534542271,0.639401916251458,0.634995377292158,0.635978519406456,0.622363867848996,0.608384227003897,0.653447270894783,0.501780525507118,0.237260597425312,-0.0280380707084304,-0.272793001949208,-0.491304778441877,-0.560229475874587,-0.551156313982714,-0.352946176584151,-0.12289485024504,0.0708156734509342,0.212065230725784,0.302904602000327,0.462494497202739,0.705527395009714,0.698282712256722,0.663981400094338
"229","P333","norisk","negative","autists",-0.123259660481859,-0.0961729406490364,-0.0639868990663059,-0.0761137807188575,-0.0948569866490599,-0.168111759314351,-0.286858330673231,-0.398275769337803,-0.455729955433946,-0.468734139753146,-0.436063753989871,-0.389530158379635,-0.317372014047657,-0.232319348229811,-0.145274474273113,-0.118315694412508,-0.0887158679825079,-0.0494200193721368,-0.0345972597335254,-0.0583849559969671,-0.0161282108866501,-0.0205238627893465,-0.0112847690811863,0.0158567821683036,0.0339877039457417,0.0543667138064692,0.101201882208367,0.163801082901635,0.212025313859062,0.272650583552368,0.348546402787052,0.41912357460517,0.489408312201073,0.566875965380173,0.620345735198613,0.649881591642503,0.625289701267964,0.405397443299874,-0.0485335781360409,-0.564232190445797,-1.00249056528478,-1.33372715336189,-1.51669045220568,-1.63634174193954,-1.65481079078642,-1.65240401237723,-1.728277405749,-1.78580967821233,-1.82672803142598,-1.86097522894531,-1.90414167024224,-1.93718257659492,-1.93328743676945,-1.83144959437766
"230","P333","norisk","positive","autists",0.0899751496460783,0.109869358397787,0.0938078656710063,0.0586389950216662,-0.00968095014371604,-0.0858390463214518,-0.142885195291908,-0.19605613388952,-0.21920138872103,-0.239635686926897,-0.272182702002673,-0.301428865795179,-0.271019819040889,-0.215244845080132,-0.160148270835424,-0.169189335717017,-0.140234553224597,-0.0492051268838428,0.0222417645326635,0.094180523477844,0.138165045692592,0.164278377328611,0.198612178557232,0.214269289586104,0.214749521410399,0.249116482591004,0.307834075912817,0.370718856901219,0.451733645810114,0.525340253399008,0.58963877108044,0.633248024468509,0.673673400262194,0.702972110829005,0.730189512204881,0.755164765567607,0.749979084336455,0.595797253028935,0.222742571174833,-0.234982784294345,-0.605173376813283,-0.857816417529821,-1.01784024754912,-1.10000803518794,-1.11581427309328,-1.09030015674568,-1.11223379731578,-1.15817316777725,-1.18984200365574,-1.19759885331039,-1.21955882945127,-1.24586328150595,-1.28022566716812,-1.25915288113143
"231","P333","postrisk","negative","autists",-0.329890483400895,-0.380569791039525,-0.425279328188685,-0.449295031759762,-0.467304867492062,-0.505385348674775,-0.564599498629028,-0.592252872075826,-0.610329876293541,-0.601674280244399,-0.579118920070517,-0.562205712671529,-0.523124163514625,-0.478845966843234,-0.438516089100242,-0.417527536657581,-0.392450845174024,-0.327773990717601,-0.264258648437544,-0.250580620671062,-0.219883195778827,-0.11797280223186,-0.0291497584877951,0.0447401447538721,0.122570599139909,0.217860975841939,0.30973352757181,0.380044927561535,0.433816862943708,0.485807715840029,0.527120903655225,0.558883372544212,0.584006670731934,0.60050864250593,0.611354753650865,0.62235987590413,0.630376685949118,0.495026176655554,0.131957714473607,-0.29850168315231,-0.670858056251543,-0.942643928414529,-1.11810455194441,-1.22549811678595,-1.28009677200667,-1.34119607348353,-1.41568887972232,-1.5090036311825,-1.52135795756121,-1.52010126128906,-1.50877810202054,-1.39903325978774,-1.20410365719754,-0.957297895346841
"232","P333","postrisk","positive","autists",-0.220943656985581,-0.233198478610349,-0.229755065643749,-0.215169908810688,-0.19192138814446,-0.184349169502934,-0.19590763213605,-0.183822787902944,-0.173651560111469,-0.152656610670196,-0.1169558752792,-0.0906313121380276,-0.0746095721883295,-0.061488414180243,-0.0492993902554723,-0.0575570016053166,-0.0373351751390308,0.0252548869847937,0.0508063271509802,0.0602921622341354,0.0955597294334733,0.154887322265692,0.229161959280963,0.265279413438617,0.292437414113107,0.346852112012084,0.416307067502445,0.468709452409794,0.532374210300265,0.586152863765922,0.658870288547888,0.711431684563569,0.759332410162668,0.800170849295234,0.815572994236611,0.789922857520426,0.754803335146087,0.595578384290744,0.196785484748546,-0.279012838455831,-0.655094605681114,-0.928411331791661,-1.10667231397066,-1.21704651917594,-1.20970443062045,-1.0902314429521,-1.11718626232709,-1.1739141424496,-1.1999309460977,-1.22432473981249,-1.25926809809375,-1.29634988162498,-1.26323721339151,-0.995167663150503
"233","P333","prerisk","negative","autists",0.251535918851376,0.303982168892057,0.361226167890981,0.436276669452071,0.490175952034392,0.497084710534262,0.393494456598707,0.264352762496967,0.117308610853898,0.00926330431426171,-0.05684967633033,-0.0873359439964242,-0.0942858260587932,-0.0547112510803709,0.00231342225189082,0.0788717877712868,0.0585156243341694,0.0806401009587536,0.103737835229153,0.117980295708052,0.0880012186461151,0.131290622103635,0.173236655852848,0.224353244039386,0.28732712607987,0.331589787183205,0.397963217056956,0.489600222159404,0.565253869303815,0.644169985739831,0.729350591529897,0.822701078403145,0.926442118734528,0.975351742400276,0.975776685879434,0.950677604900737,0.890376754422704,0.715916894446818,0.360033584578504,-0.0656638265593309,-0.392047834261532,-0.598693735820148,-0.690604898005922,-0.700830957214063,-0.627343151027943,-0.525946153759015,-0.436200832531537,-0.601181276922237,-1.41911134783343,-1.65039843934299,-1.52672922743697,-1.35448293721365,-1.19906989190668,-1.05604874676614
"234","P333","prerisk","positive","autists",0.314945710654351,0.255656499813799,0.173849853862558,0.0931462332432401,0.0170374853405044,-0.0425313657250435,-0.0959947385448727,-0.131572103248371,-0.183030473932125,-0.192879110222219,-0.161629772007528,-0.136835919248272,-0.0891069987547245,-0.0218928204920974,0.0339648575221299,-0.0212322138221276,-0.0565123512169855,0.0209625009168177,0.071473201949203,0.106025219161054,0.15573538151012,0.213852113890973,0.285080865710467,0.368058162407519,0.421388112113462,0.508086634288221,0.560564869321958,0.598790591450406,0.643828203242616,0.663937625304738,0.691043536133396,0.716713777702357,0.747140644667064,0.792068593625942,0.833990867094597,0.85958251696634,0.878582516697927,0.793726330123133,0.505323130888273,0.109022167666256,-0.223395023593616,-0.444179594270537,-0.588047567505845,-0.647551009202463,-0.649313770650857,-0.628100578658437,-0.606331666400838,-0.623608032167602,-0.63431961469616,-0.626188063038231,-0.613073470048501,-0.553809214284293,-0.475363313964642,-0.410269698309418
"235","P333","risk","negative","autists",0.138540934636484,0.179836987633973,0.222402159463033,0.2379023155617,0.208798256524054,0.142878328158973,0.0586504182334711,0.00882807994447664,-0.05026191008219,-0.0956132032705735,-0.0831104979496282,-0.0345572784922072,0.0317110578329367,0.117309753175078,0.168898120009178,0.0999128435611622,0.0203992648257161,-0.0221243680513269,0.0931016827171998,0.223922674361517,0.305077199399169,0.342793947336621,0.330337664382652,0.280402965816543,0.231435813290346,0.224436398615791,0.258611157318434,0.390085770195995,0.477028977567625,0.579401517124729,0.664066936062374,0.72486241161158,0.773782316167951,0.775406696886672,0.758211336156091,0.763095901524055,0.752604823802031,0.624905881351305,0.225576017268775,-0.267063536501972,-0.664089338763365,-0.943899769614011,-1.0911186963977,-1.17455934836526,-1.1914683341425,-1.18221936238238,-1.15787058191617,-1.09975163827614,-1.05230083214113,-1.04843865977389,-1.0906985437369,-1.05714815261936,-0.958976760406681,-0.833809954467969
"236","P333","risk","positive","autists",-0.399770839298887,-0.402833173919663,-0.416752129040234,-0.417651364273551,-0.415756938827753,-0.452419965581231,-0.4327711274191,-0.385561277669987,-0.332553005608483,-0.263692970988944,-0.196428530594374,-0.143439449528703,-0.070705575321737,0.0283967271597352,0.0822631108920565,-0.0549598297888042,-0.289663299499569,-0.336951191891774,-0.386902386784799,-0.403917825917231,-0.363887717300876,-0.229469942277087,-0.0859185518756167,0.0157087373433062,0.127647074466204,0.27059531928435,0.40331202175269,0.5340328606544,0.618873511661141,0.6884600625515,0.727809828721593,0.734737778217297,0.719796217175911,0.68202011266412,0.64197947064404,0.61807023140699,0.602388446240616,0.480698341663737,0.117919981149719,-0.330639389166853,-0.715479170176288,-0.964962116004934,-1.08967325476456,-1.13520835848561,-1.12360472184018,-1.11757777235001,-1.11169449948415,-1.18586796556558,-1.24898496595751,-1.28798418520202,-1.34230604383373,-1.35432093649414,-1.23427174435742,-1.11406755903878
"237","P334","norisk","positive","autists",-1.23106964935254,-1.29603079076049,-1.33448919995305,-1.44821536863733,-1.55069259987018,-1.57030462170958,-1.57012793682814,-1.55681767575997,-1.51912490105363,-1.50752259383934,-1.45587171349955,-1.44032344393319,-1.41476303108546,-1.42554080885305,-1.3823708028222,-1.34503466982098,-1.28601046762349,-1.17282287585171,-1.01069905052316,-1.00092370455058,-1.13516126068842,-1.10936526799878,-1.20079763966651,-1.1748838570559,-1.08389114311639,-1.09620018985643,-1.05008543580164,-0.865920894384897,-0.744773960680308,-0.667032612848485,-0.634817069466661,-0.602248156321968,-0.618149795651205,-0.62704293468348,-0.624628241303857,-0.589880214621451,-0.600599097428567,-0.690649492000426,-0.933885678777261,-1.31016558127537,-1.55109210431752,-1.68078104667771,-1.87141375741005,-2.06204646814235,-2.25688692662446,-2.5398354149704,-2.60514922005455,-2.592286660508,-2.54370929852947,-2.42484590544957,-2.2221766705998,-2.0831030425972,-1.94067539650632,-1.75855254705285
"238","P334","postrisk","negative","autists",-1.51674947098099,-1.45169017130557,-1.4604458887634,-1.46515748560169,-1.45432081287362,-1.43398241985499,-1.37292797749212,-1.40524167914141,-1.37438071985059,-1.38274380423856,-1.35887171359121,-1.32644022202097,-1.3269113817048,-1.3495270465286,-1.32371318550762,-1.14454242591038,-0.898011752484255,-0.653824979505463,-0.470486927969672,-0.800709300670252,-0.886416340631467,-0.856262120866398,-0.86717732020844,-0.88064463450456,-0.897213750052551,-0.906715470343109,-0.858068232987743,-0.819040505843887,-0.793676409531083,-0.794186832521896,-0.729088269539493,-0.669486569535098,-0.597045768146354,-0.626375458464724,-0.599754936328371,-0.571681671833548,-0.518833260630705,-0.523152224399138,-0.705530285348032,-0.989129151706236,-1.29634935540063,-1.48845041205454,-1.5725569172544,-1.65187911578823,-1.67682163414674,-1.73383234080485,-1.80225191413656,-1.850339175061,-1.73913033705562,-1.59331383159867,-1.49331529448078,-1.3736179762806,-1.24755165503151,-1.28080799334413
